 Total Nb of available Diagnostics: ndiagt=   399
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    68 |RHOANOSQ| 50 |       |SMRP    MR|kg^2/m^6        |Square of Density Anomaly (=(Rho-rhoConst)^2)
    69 |URHOMASS| 50 |    70 |UUr     MR|kg/m^2/s        |Zonal Transport of Density
    70 |VRHOMASS| 50 |    69 |VVr     MR|kg/m^2/s        |Meridional Transport of Density
    71 |WRHOMASS| 50 |       |WM      LR|kg/m^2/s        |Vertical Transport of Density
    72 |WdRHO_P | 50 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-P
    73 |WdRHOdP | 50 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-T,S
    74 |PHIHYD  | 50 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly
    75 |PHIHYDSQ| 50 |       |SMRP    MR|m^4/s^4         |Square of Hyd. Pressure Pot.(p/rho) Anomaly
    76 |PHIBOT  |  1 |       |SM      M1|m^2/s^2         |Bottom Pressure Pot.(p/rho) Anomaly
    77 |OBP     |  1 |       |SM      M1|m^2/s^2         |Ocean Bottom Pressure
    78 |OBPGMAP |  1 |       |SM      M1|m^2/s^2         |Ocean Bottom Pressure Including Global Mean Atmospheric Pressure
    79 |PHIBOTSQ|  1 |       |SM P    M1|m^4/s^4         |Square of Bottom Pressure Pot.(p/rho) Anomaly
    80 |PHI_SURF|  1 |       |SM      M1|m^2/s^2         |Surface Dynamical Pressure Pot.(p/rho)
    81 |PHIHYDcR| 50 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly @ const r
    82 |MXLDEPTH|  1 |       |SM      M1|m               |Mixed-Layer Depth (>0)
    83 |DRHODR  | 50 |       |SM      LR|kg/m^4          |Stratification: d.Sigma/dr (kg/m3/r_unit)
    84 |CONVADJ | 50 |       |SMR     LR|fraction        |Convective Adjustment Index [0-1]
    85 |oceTAUX |  1 |    86 |UU      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
    86 |oceTAUY |  1 |    85 |VV      U1|N/m^2           |meridional surf. wind stress, >0 increases vVel
    87 |atmPload|  1 |       |SM      U1|Pa              |Atmospheric pressure loading
    88 |sIceLoad|  1 |       |SM      U1|kg/m^2          |sea-ice loading (in Mass of ice+snow / area unit)
    89 |oceFWflx|  1 |       |SM      U1|kg/m^2/s        |net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity
    90 |oceSflux|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux into the ocean (+=down), >0 increases salinity
    91 |oceQnet |  1 |       |SM      U1|W/m^2           |net surface heat flux into the ocean (+=down), >0 increases theta
    92 |oceQsw  |  1 |       |SM      U1|W/m^2           |net Short-Wave radiation (+=down), >0 increases theta
    93 |oceFreez|  1 |       |SM      U1|W/m^2           |heating from freezing of sea-water (allowFreezing=T)
    94 |TRELAX  |  1 |       |SM      U1|W/m^2           |surface temperature relaxation, >0 increases theta
    95 |SRELAX  |  1 |       |SM      U1|g/m^2/s         |surface salinity relaxation, >0 increases salt
    96 |surForcT|  1 |       |SM      U1|W/m^2           |model surface forcing for Temperature, >0 increases theta
    97 |surForcS|  1 |       |SM      U1|g/m^2/s         |model surface forcing for Salinity, >0 increases salinity
    98 |TFLUX   |  1 |       |SM      U1|W/m^2           |total heat flux (match heat-content variations), >0 increases theta
    99 |SFLUX   |  1 |       |SM      U1|g/m^2/s         |total salt flux (match salt-content variations), >0 increases salt
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |TFLUXMLT| 50 |       |SMR     MR|W/m^2           |heat flux due to changing ocean mass by ice melt, >0 increases theta
   101 |SFLUXMLT| 50 |       |SMR     MR|g/m^2/s         |salt flux due to changing ocean mass by ice melt, >0 increases salt
   102 |TFLUXMTI| 50 |       |SMR     MR|W/m^2           |heat flux due to changing ocean mass by ice melt (insitu T), >0 increases theta
   103 |RCENTER | 50 |       |SM      MR|m               |Cell-Center Height
   104 |RSURF   |  1 |       |SM      M1|m               |Surface Height
   105 |TOTUTEND| 50 |   106 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
   106 |TOTVTEND| 50 |   105 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
   107 |TOTTTEND| 50 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   108 |TOTSTEND| 50 |       |SMR     MR|psu/day         |Tendency of Salinity
   109 |MoistCor| 50 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   110 |gT_Forc | 50 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   111 |gS_Forc | 50 |       |SMR     MR|psu/s           |Salinity forcing tendency
   112 |AB_gT   | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   113 |AB_gS   | 50 |       |SMR     MR|psu/s           |Salinity tendency from Adams-Bashforth
   114 |gTinAB  | 50 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   115 |gSinAB  | 50 |       |SMR     MR|psu/s           |Salinity tendency going in Adams-Bashforth
   116 |AB_gU   | 50 |   117 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   117 |AB_gV   | 50 |   116 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   118 |ADJetan |  1 |       |SM A    M1|dJ/m            |dJ/dEtaN: Sensitivity to sea surface height anomaly
   119 |ADJuvel | 50 |   120 |UURA    MR|dJ/(m/s)        |dJ/dU: Sensitivity to zonal velocity
   120 |ADJvvel | 50 |   119 |VVRA    MR|dJ/(m/s)        |dJ/dV: Sensitivity to meridional velocity
   121 |ADJwvel | 50 |       |WM A    LR|dJ/(m/s)        |dJ/dW: Sensitivity to vertical velocity
   122 |ADJtheta| 50 |       |SMRA    MR|dJ/degC         |dJ/dTheta: Sensitivity to potential temperature
   123 |ADJsalt | 50 |       |SMRA    MR|dJ/psu          |dJ/dSalt: Sensitivity to salinity
   124 |ADVr_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   125 |ADVx_TH | 50 |   126 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   126 |ADVy_TH | 50 |   125 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   127 |DFrE_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   128 |DFxE_TH | 50 |   129 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   129 |DFyE_TH | 50 |   128 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   130 |DFrI_TH | 50 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   131 |ADVr_SLT| 50 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   132 |ADVx_SLT| 50 |   133 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   133 |ADVy_SLT| 50 |   132 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   134 |DFrE_SLT| 50 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   135 |DFxE_SLT| 50 |   136 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   136 |DFyE_SLT| 50 |   135 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   137 |DFrI_SLT| 50 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   138 |SALTFILL| 50 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   139 |VISCAHZ | 50 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   140 |VISCA4Z | 50 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   141 |VISCAHD | 50 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   142 |VISCA4D | 50 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   143 |VISCAHW | 50 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   144 |VISCA4W | 50 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   145 |VAHZMAX | 50 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   146 |VA4ZMAX | 50 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   147 |VAHDMAX | 50 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   148 |VA4DMAX | 50 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   149 |VAHZMIN | 50 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   150 |VA4ZMIN | 50 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   151 |VAHDMIN | 50 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   152 |VA4DMIN | 50 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   153 |VAHZLTH | 50 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   154 |VA4ZLTH | 50 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   155 |VAHDLTH | 50 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   156 |VA4DLTH | 50 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   157 |VAHZLTHD| 50 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   158 |VA4ZLTHD| 50 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   159 |VAHDLTHD| 50 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   160 |VA4DLTHD| 50 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   161 |VAHZSMAG| 50 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   162 |VA4ZSMAG| 50 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   163 |VAHDSMAG| 50 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   164 |VA4DSMAG| 50 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   165 |momKE   | 50 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   166 |momHDiv | 50 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   167 |momVort3| 50 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   168 |Strain  | 50 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   169 |Tension | 50 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   170 |Stretch | 50 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   171 |USidDrag| 50 |   172 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   172 |VSidDrag| 50 |   171 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   173 |Um_Diss | 50 |   174 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   174 |Vm_Diss | 50 |   173 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   175 |Um_ImplD| 50 |   176 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   176 |Vm_ImplD| 50 |   175 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   177 |Um_Advec| 50 |   178 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   178 |Vm_Advec| 50 |   177 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   179 |Um_Cori | 50 |   180 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   180 |Vm_Cori | 50 |   179 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   181 |Um_dPhiX| 50 |   182 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   182 |Vm_dPhiY| 50 |   181 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   183 |Um_Ext  | 50 |   184 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   184 |Vm_Ext  | 50 |   183 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   185 |Um_Impl | 50 |   186 |UUR     MR|m/s^2           |U momentum tendency from implicit viscosity
   186 |Vm_Impl | 50 |   185 |VVR     MR|m/s^2           |V momentum tendency from implicit viscosity
   187 |Um_OBCS | 50 |   188 |UUR     MR|m/s^2           |U momentum tendency from open bcs
   188 |Vm_OBCS | 50 |   187 |VVR     MR|m/s^2           |V momentum tendency from open bcs
   189 |Um_dPsdx| 50 |   190 |UUR     MR|m/s^2           |U momentum tendency from sfc PGF
   190 |Vm_dPsdy| 50 |   189 |VVR     MR|m/s^2           |V momentum tendency from sfc PGF
   191 |Um_Wind | 50 |   192 |UUR     MR|m/s^2           |U momentum tendency from wind
   192 |Vm_Wind | 50 |   191 |VVR     MR|m/s^2           |V momentum tendency from wind
   193 |Um_CorNL| 50 |   194 |UUR     MR|m/s^2           |U momentum tendency from nontrad (cosine) Coriolis
   194 |Vm_CorNL| 50 |   193 |VVR     MR|m/s^2           |V momentum tendency from nontrad (cosine) Coriolis
   195 |Um_dKEdx| 50 |   196 |UUR     MR|m/s^2           |U momentum tendency from grad KE
   196 |Vm_dKEdy| 50 |   195 |VVR     MR|m/s^2           |V momentum tendency from grad KE
   197 |Um_Diss2| 50 |   198 |UUR     MR|m/s^2           |U momentum tendency from harmonic visc alone
   198 |Vm_Diss2| 50 |   197 |VVR     MR|m/s^2           |V momentum tendency from harmonic visc alone
   199 |Um_Diss4| 50 |   200 |UUR     MR|m/s^2           |U momentum tendency from biharmonic visc alone
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |Vm_Diss4| 50 |   199 |VVR     MR|m/s^2           |V momentum tendency from biharmonic visc alone
   201 |Um_AdvZ3| 50 |   202 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   202 |Vm_AdvZ3| 50 |   201 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   203 |Um_AdvRe| 50 |   204 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   204 |Vm_AdvRe| 50 |   203 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   205 |UBotDrag| 50 |   206 |UUR     MR|m/s^2           |U momentum tendency from Bottom Drag
   206 |VBotDrag| 50 |   205 |VVR     MR|m/s^2           |V momentum tendency from Bottom Drag
   207 |UShIDrag| 50 |   208 |UUR     MR|m/s^2           |U momentum tendency from ice shelf Drag
   208 |VShIDrag| 50 |   207 |VVR     MR|m/s^2           |V momentum tendency from ice shelf Drag
   209 |botTauX |  1 |   210 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   210 |botTauY |  1 |   209 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   211 |VISrI_Um| 50 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   212 |VISrI_Vm| 50 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   213 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
   214 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   215 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   216 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   217 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   218 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   219 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   220 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   221 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   222 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
   223 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
