 Total Nb of available Diagnostics: ndiagt=   295
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
   262 |SIdAbATO|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by open ocn atm flux
   263 |SIdAbATC|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by atm flux over ice
   264 |SIdAbOCN|  1 |       |SM      M1|m^2/m^2/s       |Potential AREA rate of change by ocean ice flux
   265 |SIdA    |  1 |       |SM      M1|m^2/m^2/s       |AREA rate of change (net)
   266 |ADVxHEFF|  1 |   267 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff ice thickn
   267 |ADVyHEFF|  1 |   266 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff ice thickn
   268 |SIuheff |  1 |   269 |UU      M1|m^2/s           |Zonal      Transport of eff ice thickn (centered)
   269 |SIvheff |  1 |   268 |VV      M1|m^2/s           |Meridional Transport of eff ice thickn (centered)
   270 |DFxEHEFF|  1 |   271 |UU      M1|m^2/s           |Zonal      Diffusive Flux of eff ice thickn
   271 |DFyEHEFF|  1 |   270 |VV      M1|m^2/s           |Meridional Diffusive Flux of eff ice thickn
   272 |ADVxAREA|  1 |   273 |UU      M1|m^2/m^2.m^2/s   |Zonal      Advective Flux of fract area
   273 |ADVyAREA|  1 |   272 |VV      M1|m^2/m^2.m^2/s   |Meridional Advective Flux of fract area
   274 |DFxEAREA|  1 |   275 |UU      M1|m^2/m^2.m^2/s   |Zonal      Diffusive Flux of fract area
   275 |DFyEAREA|  1 |   274 |VV      M1|m^2/m^2.m^2/s   |Meridional Diffusive Flux of fract area
   276 |ADVxSNOW|  1 |   277 |UU      M1|m.m^2/s         |Zonal      Advective Flux of eff snow thickn
   277 |ADVySNOW|  1 |   276 |VV      M1|m.m^2/s         |Meridional Advective Flux of eff snow thickn
   278 |DFxESNOW|  1 |   279 |UU      M1|m.m^2/s         |Zonal      Diffusive Flux of eff snow thickn
   279 |DFyESNOW|  1 |   278 |VV      M1|m.m^2/s         |Meridional Diffusive Flux of eff snow thickn
   280 |ADVxSSLT|  1 |   281 |UU      M1|psu.m^2/s       |Zonal      Advective Flux of seaice salinity
   281 |ADVySSLT|  1 |   280 |VV      M1|psu.m^2/s       |Meridional Advective Flux of seaice salinity
   282 |DFxESSLT|  1 |   283 |UU      M1|psu.m^2/s       |Zonal      Diffusive Flux of seaice salinity
   283 |DFyESSLT|  1 |   282 |VV      M1|psu.m^2/s       |Meridional Diffusive Flux of seaice salinity
   284 |SIpress |  1 |       |SM      M1|m^2/s^2         |SEAICE strength (with upper and lower limit)
   285 |SIzeta  |  1 |       |SM      M1|m^2/s           |SEAICE nonlinear bulk viscosity
   286 |SIeta   |  1 |       |SM      M1|m^2/s           |SEAICE nonlinear shear viscosity
   287 |SIsigI  |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component one
   288 |SIsigII |  1 |       |SM      M1|no units        |SEAICE normalized principle stress, component two
   289 |SIshear |  1 |       |SM      M1|s^{-1}          |SEAICE shear deformation
   290 |SIdelta |  1 |       |SM      M1|s^{-1}          |SEAICE Delta deformation
   291 |SItensil|  1 |       |SM      M1|m^2/s^2         |SEAICE maximal tensile strength
   292 |PLUMEKB | 50 |       |SM      MR|                |fractional plume: [0-1] (unitless)
   293 |oceSPtnd| 50 |       |SM      MR|g/m^2/s         |salt tendency due to salt plume flux >0 increases salinity
   294 |oceSPflx|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux rejected into the ocean during freezing, (+=down),
   295 |oceSPDep|  1 |       |SM      U1|m               |Salt plume depth based on density criterion (>0)
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
